college_name,college_type,college_estd,college_rating,college_img_url,college_location,college_contactNumber
"Dr. D.Y. Patil Centre for Management and Research - [DYPCMR], Pune",Private,Estd 2008,nothing,https://images.collegedunia.com/public/college_data/images/appImage/15009837991492156198aboutsanstha.jpg?w=1286&h=193&mode=stretch,"Gate No.1029, 1030, Newale Vasti, Next to Thermax Square, Near Spine Road, Akurdi-Chikhali road 
 Pune - 412114 
 Maharashtra ,    India",020-65111156
"Dr. D. Y. Patil College of Engineering and Innovation Varale, Pune",Private,Estd 2014,6.1,https://images.collegedunia.com/public/college_data/images/appImage/1492601792cccccccccccccccccccccccccc.png?w=1286&h=193&mode=stretch,"At Sr. No. 27/A/1/2C, Near Talegaon Railway Station (1.3 K.M) from MIT Medical College, Towards HP Service Station, Marathe Nagar, Near Eco City, Varale, Tal: Maval, Talegaon Dabhade 
 Pune - 410507 
 Maharashtra ,    India","0211-4667915  ,    4667926"
"Rajgad Dnyanpeeth Technical Campus - [RDTC], Pune",Private,Estd 2009,7.3,https://images.collegedunia.com/public/college_data/images/appImage/1492833630csavdjk.jpg?w=1286&h=193&mode=stretch,"Gat No. 237, Pune Bangalore Highway Touch, Dhangawadi, Tal. Bhor 
 Pune - 412206 
 Maharashtra ,    India","02113-282456  ,    282556  ,    282656"
"PVG's Late Govind Kashinath Pate Wani Institute of Management - [PVGPIM], Pune",Private,Estd 2010,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1493118283cccccccccccccccccccccccc.png?w=1286&h=193&mode=stretch,"44, Vidyanagari, Shivdarshan, Parvati 
 Pune - 411009 
 Maharashtra ,    India","020-24223232  ,    24228265"
"Samarth Group of Institutions Faculty of Management Belhe, Pune",Private,Estd 2009,nothing,https://images.collegedunia.com/public/college_data/images/appImage/1493286246czvbsbcd.png?w=1286&h=193&mode=stretch,"Nagar-Kalyan Highway, Bangarwadi 
 Pune - 412410 
 Maharashtra ,    India",02132-276753
"International School Of Business & Media Mulshi - [ ISB&M], Pune",nothing,Private,8.5,https://images.collegedunia.com/public/college_data/images/appImage/1495438551mulshicover.jpg?w=1286&h=193&mode=stretch,"Gat No. 237-239, 241-243, Sambhave, Mulshi 
 Pune - 412108 
 Maharashtra ,    India",020-25887645
"Dattakala Shikshan Sanstha Faculty of Engineering, Pune",Private,Estd 2010,6.7,https://images.collegedunia.com/public/college_data/images/appImage/1498642173asdadddd.png?w=1286&h=193&mode=stretch,"At Gate No: 541/2, 527 Off Pune-Solapur Highway, Swami-Chincholi (Bhigwan), Tal-Daund 
 Pune - 413110 
 Maharashtra ,    India","02117-203183  ,    203184"
"Abhinav Education Society's College of Pharmacy, Pune",Private,Estd 2007,nothing,https://images.collegedunia.com/public/college_data/images/appImage/9202_AESCP_New.jpg?w=1286&h=193&mode=stretch,"Sr. No. 23/2/3, Near Katraj (Ambegaon BK), A/P: Narhe, Tal: Haveli 
 Pune - 411041 
 Maharashtra ,    India","020-32316708  ,    3020816"
"Adarsha Comprehensive College of Education and Research - [ACCER], Pune",Private,Estd 1970,nothing,https://images.collegedunia.com/public/college_data/images/appImage/19382_ACCER_New.jpg?w=1286&h=193&mode=stretch,"47/16, Erandwane, Opp. Karve Telephone Exchange, Near Nal stop, Karve Road 
 Pune - 411004 
 Maharashtra ,    India",020-25433084
"Shri Khanderai Pratishthan's MEd College, Pune",Private,Estd 2009,nothing,https://images.collegedunia.com/public/college_data/images/appImage/22740_SKPMC_New.png?w=1286&h=193&mode=stretch,"Survey No. 4/2+3, Near M.T. Balwadkar High School 
 Pune - 411045 
 Maharashtra ,    India",020-66280275
"Suryadatta Institute of Business Management and Technology - [SIBMT], Pune",Private,Estd 1999,8.7,https://images.collegedunia.com/public/college_data/images/appImage/1586329241Cover.jpg?w=1286&h=193&mode=stretch,"Survey No. 342, Shri Ganesh, Bavdhan 
 Pune - 411021 
 Maharashtra ,    India","8956932402  ,    8956932418  ,    8956932400  ,    7776072000  ,    8956932400  ,    9763266829"
"Camp Education Society's Dr.  Arvind B. Telang Institute of Hotel Management - [CESIHM], Pune",Private,Estd 2005,8.8,https://images.collegedunia.com/public/college_data/images/appImage/17535_DABTIHM_APP.jpg?w=1286&h=193&mode=stretch,"Plot No. G/P-159, ""G"" Block-MIDC Chinchwad, Sambhaji Nagar, 
 Pune - 411019 
 Maharashtra ,    India","020-27371635  ,    27371037"
"PDEA's Annasaheb Magar College, Pune",NAAC,"SPPU, Pune",8.2,https://images.collegedunia.com/public/college_data/images/appImage/255_AMCPD.jpg?w=1286&h=193&mode=stretch,"Hadapsar 
 Pune - 411028 
 Maharashtra ,    India",020-26990376
"Arihant College of Arts, Commerce & Science - [ACACS], Pune",nothing,"SPPU, Pune",8.7,https://images.collegedunia.com/public/college_data/images/appImage/280_ACACS.jpg?w=1286&h=193&mode=stretch,"Near Pulgate Bus Stand, Next to Vijaya Bank, Camp 
 Pune - 411001 
 Maharashtra ,    India","020-65602901  ,    656029012  ,    656029013  ,    656029014  ,    656029015"
"Dr. Arvind B. Telang Senior College of Arts, Science and Commerce, Pune",NAAC,"SPPU, Pune",4.8,https://images.collegedunia.com/public/college_data/images/appImage/303_DABTASC.jpg?w=1286&h=193&mode=stretch,"Sector No. 27-A, Pradhikaran Nigdi 
 Pune - 411044 
 Maharashtra ,    India",020-27658596
"B.D. Kale Mahavidyalaya Ghodegaon, Pune",Government,Estd 1989,nothing,https://images.collegedunia.com/public/college_data/images/appImage/357_PUNEU.jpg?w=1286&h=193&mode=stretch,"Ambegaon 
 Pune - 411046 
 Maharashtra ,    India",02133-244282
"Baburaoji Gholap College Sangvi, Pune",NAAC,"SPPU, Pune",9.0,https://images.collegedunia.com/public/college_data/images/appImage/446_BGCPUNE_APP.jpg?w=1286&h=193&mode=stretch,"Sangvi 
 Pune - 411027 
 Maharashtra ,    India",020-27280204
"Balaji College of Arts, Commerce and Science - [BCACS], Pune",NAAC,"SPPU, Pune",8.5,https://images.collegedunia.com/public/college_data/images/appImage/472_BCACSPUNE_APP.jpg?w=1286&h=193&mode=stretch,"Survey No. 3/1+4, Tathawade, Aundh-Ravet Road 
 Pune - 411033 
 Maharashtra ,    India","Office -  020-67084050  ,    Principal -  020-67084053  ,    Admissions -  020- 67084041  ,    Faculty Room -   020-67084054"
"Bharatratna Dr Babasaheb Ambedkar Mahavidyalaya, Pune",Public Institute,Estd 1983,6.5,https://images.collegedunia.com/public/college_data/images/appImage/596_BDBAM_APP.jpg?w=1286&h=193&mode=stretch,"Aundh, Pune, Maharashtra 
 Pune - 411007 
 Maharashtra ,    India",020-25880883
"Choice College of Arts & Commerce, Pune",NAAC,"SPPU, Pune",nothing,https://images.collegedunia.com/public/college_data/images/appImage/842_CCACP_APP.jpg?w=1286&h=193&mode=stretch,"Karve Road, Behind McDonald's, Kothrud, Pune, Maharashtra 
 Pune - 411038 
 Maharashtra ,    India",020-64001333
"Bharati Vidyapeeth College of Physical Education, Pune",Private,Estd 1994,nothing,https://images.collegedunia.com/public/college_data/images/appImage/876_pc.jpg?w=1286&h=193&mode=stretch,"Dhankawadi 
 Pune - 411043 
 Maharashtra ,    India","020-24373741  ,    24373744"
"MES's Garware College of Commerce - [GCC], Pune",NAAC,"SPPU, Pune",7.3,https://images.collegedunia.com/public/college_data/images/appImage/1355_GARWARECC_APP.jpg?w=1286&h=193&mode=stretch,"Maharashtra Education Society's, Karve Road 
 Pune - 411004 
 Maharashtra ,    India","Admission Cell -  020-41038300  ,    41038345"
"Hutatma Rajguru Mahavidyalaya, Pune",NAAC Grade B,"SPPU, Pune",7.6,https://images.collegedunia.com/public/college_data/images/appImage/1929_HRM_APP.jpg?w=1286&h=193&mode=stretch,"Rajgurunagar 
 Pune - 410505 
 Maharashtra ,    India",02135-222099
"Kaivalyadhama Yoga Institute, Pune",nothing,"SPPU, Pune",8.9,https://images.collegedunia.com/public/college_data/images/appImage/2282_KMP_APP.jpg?w=1286&h=193&mode=stretch,"Kaivalyadhama, Lonavla Pune, Maharashtra 
 Pune - 410403 
 Maharashtra ,    India","02114-273039  ,    273001"
"MIT-WPU Faculty of Liberal Arts, Pune",Ranked 95 for Arts by Indiatoday 2020,"MITWPU, Pune",8.3,https://images.collegedunia.com/public/college_data/images/appImage/15923775751518500807mitbuilding6.jpg?w=1286&h=193&mode=stretch,"S.No.124, Paud Road, Kothrud, 
 Pune - 411038 
 Maharashtra ,    India","020–25703400  ,    71177104"
"Maharashtra College of Science and Commerce - [MCSC] Kothrud, Pune",Private,Estd 1961,7.7,https://images.collegedunia.com/public/college_data/images/appImage/2779_mcsc_new.jpg?w=1286&h=193&mode=stretch,"Paud Road, Rambaug Colony, Near Krishna Hospital 
 Pune - 411038 
 Maharashtra ,    India",0202-5444363
"PES's Modern College of Arts, Science and Commerce Ganeshkhind, Pune",Private,Estd 1970,7.4,https://images.collegedunia.com/public/college_data/images/appImage/3312_PESMCASC_APP.jpg?w=1286&h=193&mode=stretch,"Ganeshkhind 
 Pune - 411053 
 Maharashtra ,    India",020-25634021
"Samajbhushan Ganpatrao Kalbhor Arts, Science and Commerce College Loni Kalbhor, Pune",Public,Estd 1984,nothing,https://images.collegedunia.com/public/college_data/images/appImage/4037_sgk_new.jpg?w=1286&h=193&mode=stretch,"A/P- Loni Kalbhor, Tal-Haveli 
 Pune - 412201 
 Maharashtra ,    India",020-26913846
"Sarhad College of Arts, Commerce & Science, Pune",Private,Estd 1984,7.9,https://images.collegedunia.com/public/college_data/images/appImage/4116_Sarhad_new.jpg?w=1286&h=193&mode=stretch,"Sr.No.79,80,81,76/4 (new), Near Rajaram Gas Agency, Kashmir Maitri Chowk 
 Pune - 411046 
 Maharashtra ,    India",020-24368621
"Shreemati Nathibai Damodar Thackersey Women's University - [SNDT], Pune",NAAC,Estd 1916,7.8,https://images.collegedunia.com/public/college_data/images/appImage/4321_SNDT_APP.jpg?w=1286&h=193&mode=stretch,"Maharshi Karve Vidyavihar, Karve Road, 
 Pune - 411038 
 Maharashtra ,    India","020-25421678  ,    22088837"
"Spicer Memorial College - [SMC], Pune",Private Institute,Estd 1915,9.3,https://images.collegedunia.com/public/college_data/images/appImage/4648_SMCP_APP.jpg?w=1286&h=193&mode=stretch,"Aundh Road 
 Pune - 411007 
 Maharashtra ,    India",020-25807000
"Symbiosis Centre for Distance Learning - [SCDL], Pune",Private Institute,Estd 2001,7.9,https://images.collegedunia.com/public/college_data/images/appImage/1506493079cover.png?w=1286&h=193&mode=stretch,"Symbiosis Bhavan, 1065 B , Gokhale Cross Road, Model Colony, 
 Pune - 411016 
 Maharashtra ,    India",020-66211000
"Tikaram Jagannath College Arts, Commerce and Science, Pune",NAAC,"SPPU, Pune",7.3,https://images.collegedunia.com/public/college_data/images/appImage/5161_TJCACS_New.jpg?w=1286&h=193&mode=stretch,"491, Elphinston Road 
 Pune - 411003 
 Maharashtra ,    India",0202-5811491
"Union Biblical Seminary, Pune",Private,Estd 1871,7.8,https://images.collegedunia.com/public/college_data/images/appImage/5205_UBS_NEW.jpg?w=1286&h=193&mode=stretch,"Post Box No.1425 Bibvewadi, 
 Pune - 411037 
 Maharashtra ,    India",020-24211747
"Vidya Prathisthan's Arts, Commerce and Science College Baramati, Pune",Private,Estd 1994,5.8,https://images.collegedunia.com/public/college_data/images/appImage/5315_VPC_New.jpg?w=1286&h=193&mode=stretch,"Vidyanagari, Bhigwan Road, Baramati 
 Pune - 413133 
 Maharashtra ,    India",02112-243488
"Dr. DY Patil School of Architecture Charholi, Pune",Private,Estd 2011,4.9,https://images.collegedunia.com/public/college_data/images/appImage/5576_DYPATILARCH_APP.jpg?w=1286&h=193&mode=stretch,"DR. D. Y. Patil Knowledge City, Charoli BK Via Lohgaon 
 Pune - 412105 
 Maharashtra ,    India","020-30619495  ,    30612839"
"Gandharva Mahavidyalaya - [GVM], Pune",nothing,Estd 1932,6.3,https://images.collegedunia.com/public/college_data/images/appImage/5959_GVMP_APP.jpg?w=1286&h=193&mode=stretch,"495, Shaniwar Peth, Mehunpura, Near Appa Balwant Chowk, Pune 
 Pune - 411030 
 Maharashtra ,    India",020-24450795
"Bharati Kala Mahavidyalaya - [BKM], Pune",Private,Estd 2000,6.8,https://images.collegedunia.com/public/college_data/images/appImage/6058_BKMP_APP.jpg?w=1286&h=193&mode=stretch,"Pune-Satara Road, Dhankawadi 
 Pune - 411043 
 Maharashtra ,    India",020-24371933
"Symbiosis School of Photography, Pune",Private,Estd 1982,7.5,https://images.collegedunia.com/public/college_data/images/appImage/6129_SSPP_APP.jpg?w=1286&h=193&mode=stretch,"Symbiosis International University Knowledge Village, At post Lavale, Tal. Mulshi 
 Pune - 412115 
 Maharashtra ,    India","020-39116128  ,    39116123"
"Bharati Vidyapeeth University, Homoeopathic Medical College, Pune",NAAC Grade A,"BVDU, Pune",8.8,https://images.collegedunia.com/public/college_data/images/appImage/6209_HMCPUNE_APP.jpg?w=1286&h=193&mode=stretch,"Bharati Vidyapeeth Educational Campus, Banglore Highway 
 Pune - 411033 
 Maharashtra ,    India",020-24371608
"Dr DY Patil Homeopathic Medical College and Research Centre, Pune",NAAC Grade A,"MUHS, Nashik",nothing,https://images.collegedunia.com/public/college_data/images/appImage/6259_PDDYHMCRC_APP.jpg?w=1286&h=193&mode=stretch,"Sant Tukaram Nagar, Pimpri, 
 Pune - 411018 
 Maharashtra ,    India","020-27120045  ,    27805885  ,    27805886  ,    27120046"
"Bharati Vidyapeeth College of Ayurved - [BVCA], Pune",Private,Estd 1990,8.5,https://images.collegedunia.com/public/college_data/images/appImage/6356_CA .jpg?w=1286&h=193&mode=stretch,"Dhanakwadi Educational Campus 
 Pune - 411043 
 Maharashtra ,    India","020-24373954  ,    40555600  ,    24365289"
"Dr. DY Patil College of Ayurved, Pune",nothing,Private,9.0,https://images.collegedunia.com/public/college_data/images/appImage/6364_DDYPCARI_APP.jpg?w=1286&h=193&mode=stretch,"Pimpri 
 Pune - 411018 
 Maharashtra ,    India","20-27122124  ,    27122124"
"Regional Ayurveda Institute for Fundamental Research - [RAIFR], Pune",nothing,"SPPU, Pune",nothing,https://images.collegedunia.com/public/college_data/images/appImage/6424_NRIBAS_APP.jpg?w=1286&h=193&mode=stretch,"Kothrud 
 Pune - 411038 
 Maharashtra ,    India","020-25383138  ,    25380326"
"National Centre for Cell Science - [NCCS], Pune",Public (Autonomous),Estd 1986,8.3,https://images.collegedunia.com/public/college_data/images/appImage/6679_NCCS_New.jpg?w=1286&h=193&mode=stretch,"University of Pune Campus, Ganeshkhind 
 Pune - 411007 
 Maharashtra ,    India",020-25708000
"National Research Centre for Grapes - [NRCG] Manjri, Pune",Public,Estd 1997,8.7,https://images.collegedunia.com/public/college_data/images/appImage/6691_NRCG_New.jpg?w=1286&h=193&mode=stretch,"P.B. No. 3, P.O. Manjri Farm, Solapur Road 
 Pune - 412307 
 Maharashtra ,    India",020-26956000
"Academy of Carver Aviation Pvt Ltd, Pune",nothing,Private,5.8,https://images.collegedunia.com/public/college_data/images/placeholder_300X223.png,"3rd Floor, Vidya Corner Building, Pencil Chowk , MIDC, Baramati 
 Pune - 413133 
 Maharashtra ,    India",02112-656511
"Asian Institute of Quality Management, Pune",nothing,Private Institute,nothing,https://images.collegedunia.com/public/college_data/images/appImage/7069_AIQM_APP.jpg?w=1286&h=193&mode=stretch,"Office No.95-96-97, 5th Floor G-Wing K.K.Market (Near Bibewadi, 
 Pune - 411043 
 Maharashtra ,    India",020-40084940
"Carver Aviation, Pune",nothing,Private Institute,8.5,https://images.collegedunia.com/public/college_data/images/appImage/7089_CAP_APP.jpg?w=1286&h=193&mode=stretch,"3rd Floor, Vidya Corner Building,  Pencil Chowk, MIDC,  Baramati 
 Pune - 413133 
 Maharashtra ,    India",02112-244739
"Indira Institute of Aircraft Engineering, Pune",nothing,Private,5.4,https://images.collegedunia.com/public/college_data/images/appImage/1519649144cvor.png?w=1286&h=193&mode=stretch,"Sr.No.37, Manjari Farm, Near Agri culture College, Solapur Road 
 Pune - 412307 
 Maharashtra ,    India",020-64015992
"Pune Institute of Aviation Technology, Pune",nothing,Estd 2008,8.5,https://images.collegedunia.com/public/college_data/images/appImage/7202_PUNEIAT_APP.jpg?w=1286&h=193&mode=stretch,"Survey No-12, Opp. Ravidarshan Bldg, Near Akashwani, Hadapsar 
 Pune - 411028 
 Maharashtra ,    India",020-26996348
"Wingsss Aviation and Hospitality, Pune",nothing,Estd 2006,nothing,https://images.collegedunia.com/public/college_data/images/appImage/7261_WAH_New.jpg?w=1286&h=193&mode=stretch,"140/6,Near Warje Chowk,NDA Road, Warje Malwadi 
 Pune - 411058 
 Maharashtra ,    India","0202-5292151  ,    25291542"
"College of Events & Media, Pune",nothing,Estd 2004,7.7,https://images.collegedunia.com/public/college_data/images/appImage/7321_CEM_New.jpg?w=1286&h=193&mode=stretch,"Lane # 11,Prabhat Road , Erandwane 
 Pune - 411009 
 Maharashtra ,    India","020-65295662  ,    65224258  ,    65614136"
"Institute of Moving Images - [IMI], Pune",nothing,Private (Autonomous),nothing,https://images.collegedunia.com/public/college_data/images/appImage/7392_IMI_New.png?w=1286&h=193&mode=stretch,"MA Building, Gokhale Institute of Politics & Economics Campus (Deemed University), 846, Shivaji Nagar, BMCC Road, Deccan 
 Pune - 411004 
 Maharashtra ,    India","9833032695  ,    9619932695"
"Symbiosis Institute of Media and Communication - [SIMC], Pune",Private Institute,Estd 1991,8.5,https://images.collegedunia.com/public/college_data/images/appImage/7502_SIMC_New.jpg?w=1286&h=193&mode=stretch,"Symbiosis Knowledge Village, Gram - Lavale, Taluka - Mulshi, 
 Pune - 412115 
 Maharashtra ,    India","020-39116100  ,    39116120"
"Arihant College of Hotel and Tourism Management - [ACHTM], Pune",Private,Estd 2005,nothing,https://images.collegedunia.com/public/college_data/images/appImage/7842_1451462803_fjnZfX7cgbZ9NeFc7Pzr.jpg?w=1286&h=193&mode=stretch,"Near Pulgate Bas Stand, Next to Vijaya Bank, Solapur Bazar Road, Camp 
 Pune - 411001 
 Maharashtra ,    India",020-26332921
"PAI International Learning Solutions, Pune",nothing,Estd 1948,nothing,https://images.collegedunia.com/public/college_data/images/placeholder_300X223.png,"2390-B , New Modi Khana, Dept. of Animation and Multimedia, Azam Campus, Camp 
 Pune - 411001 
 Maharashtra ,    India","020-64013441  ,    64013444"
"Seamedu School of Pro-Expressionism, Pune",nothing,Private,7.3,https://images.collegedunia.com/public/college_data/images/appImage/8482_1448277423SEAP_NEW.jpg?w=1286&h=193&mode=stretch,"SVG Classic (Next to Comfort Zone), 15/ 1A, Baner Road. Balewadi 
 Pune - 411045 
 Maharashtra ,    India","020-46607500  ,    46607501  ,    Toll Free Number -  18001025775"
"Srajan Institute of Gaming Multimedia and Animation, Pune",nothing,Estd 2006,9.2,https://images.collegedunia.com/public/college_data/images/appImage/8489_SIGMA_APP.jpg?w=1286&h=193&mode=stretch,"3rd floor, Manik Moti, Opp. Vasant Talkies, Behind Shaniwar Wada 
 Pune - 411002 
 Maharashtra ,    India","9561097123  ,    9561098123"
"Abhinav Education Society's Law College, Pune",Private,Estd 2005,nothing,https://images.collegedunia.com/public/college_data/images/appImage/8571_AESLC_APP.jpg?w=1286&h=193&mode=stretch,"Ambegaon (Bk), Katraj-Dehu Road by pass 
 Pune - 411046 
 Maharashtra ,    India",020-24317999
"Asian School of Cyber Laws - [ASCL], Pune",nothing,Private,8.3,https://images.collegedunia.com/public/college_data/images/appImage/8601_ASCLP_APP.jpg?w=1286&h=193&mode=stretch,"410, Supreme Headquaters, Mumbai-Bangalore Highway, Near Audi Showroom 
 Pune - 411045 
 Maharashtra ,    India","9225548601  ,    9225548602"
"Bharati Vidyapeeth New Law College - [BVNLC], Pune",Public,Estd 1982,7.8,https://images.collegedunia.com/public/college_data/images/appImage/8640_BVNLC_APP.jpg?w=1286&h=193&mode=stretch,"Educational Complex,Erandwane, Paud Road, 
 Pune - 411038 
 Maharashtra ,    India","(020) 25444616  ,    25455854"
"Shankarrao Chavan Law College - [SCLC], Pune",Public,Estd 2003,7.7,https://images.collegedunia.com/public/college_data/images/appImage/9036_SCLC_New.jpg?w=1286&h=193&mode=stretch,"302/A, Deccan Gymkhana 
 Pune - 411004 
 Maharashtra ,    India","020-25661659  ,    25665729"
"Shri Shivaji Maratha Society's Law College - [SSMSLC], Pune",Private,Estd 2003,4.3,https://images.collegedunia.com/public/college_data/images/appImage/9063_SSMLC_New.jpg?w=1286&h=193&mode=stretch,"425, Shukrawar Peth 
 Pune - 411002 
 Maharashtra ,    India","020-24434024  ,    24431144"
"Kasturi Shikshan Sanstha College of  Pharmacy Shikrapur, Pune",Private,Estd 2008,nothing,https://images.collegedunia.com/public/college_data/images/appImage/9601_KSSCP_APP.jpg?w=1286&h=193&mode=stretch,"Pratima Nagar Pabal Chowk, Pune-Nagar Road, Shikrapur 
 Pune - 412208 
 Maharashtra ,    India",02137-605100
"Dr. D.Y. Patil Institute of Pharmaceutical Sciences and Research - [DYPIPSR] Pimpri, Pune",Private,Estd 1994,8.7,https://images.collegedunia.com/public/college_data/images/appImage/9763_PDDY_APP.jpg?w=1286&h=193&mode=stretch,"Sant Tukaram Nagar, Pimpri 
 Pune - 411018 
 Maharashtra ,    India","020- 27420026  ,    27420261"
"Bharati Vidyapeeth Deemed University, Medical College School of Optometry, Pune",Private,Estd 1998,9.5,https://images.collegedunia.com/public/college_data/images/appImage/10356_OP .jpg?w=1286&h=193&mode=stretch,"Groud floor, Women's College of Engineering, Satara Road, Dhankawadi, Dhankawadi Rd, Bharati Vidyapeeth Campus, Dhankawadi 
 Pune - 411043 
 Maharashtra ,    India","020-24378270  ,    For International Student No. -  24407100  ,    For International Student No. -  24321068"
"DES Brijlal Jindal College of Physiotherapy, Pune",Private Institute,Estd 2007,nothing,https://images.collegedunia.com/public/college_data/images/appImage/10376_des_new.jpg?w=1286&h=193&mode=stretch,"Fergusson College Campus 
 Pune - 411004 
 Maharashtra ,    India","020-30866471  ,    30866467"
"Dr  DY Patil Institute of Optometry and Visual Sciences, Pune",Private,Estd 2005,nothing,https://images.collegedunia.com/public/college_data/images/appImage/10386_1470467572iugiuifuj.jpg?w=1286&h=193&mode=stretch,"Sant Tukaram Nagar, Pimpri, 
 Pune - 411018 
 Maharashtra ,    India","020-27805952  ,    27420439"
"Global Institute of Regulatory Affairs - [GIRA], Pune",nothing,Estd 2008,nothing,https://images.collegedunia.com/public/college_data/images/placeholder_300X223.png,"Empire Estate, Shop No. C 5&6, Mumbai Highway, Near Premier Plaza 
 Pune - 411019 
 Maharashtra ,    India",0204-6704472
"Bharati Vidyapeeth University, Interactive Research School in Health Affairs - [IRSHA], Pune",Private,Estd 2001,nothing,https://images.collegedunia.com/public/college_data/images/appImage/10565_IRSHA_New.png?w=1286&h=193&mode=stretch,"Pune Satara Road, Katraj-Dhankawadi 
 Pune - 411043 
 Maharashtra ,    India","020-24366929  ,    24366931"
"MA Rangoonwala College of Physiotherapy and Research, Pune",Public Institute,Estd 2004,nothing,https://images.collegedunia.com/public/college_data/images/appImage/10673_MARNC_APP.jpg?w=1286&h=193&mode=stretch,"2390-B, K.B. Hidayatullah Road, Azam Campus,Camp, Pune 
 Pune - 411001 
 Maharashtra ,    India",020-26437871
"National Institute of Ophthalmology-[NIO] Aundh, Pune",Private,Estd 1993,8.3,https://images.collegedunia.com/public/college_data/images/appImage/10775_nio_new.jpg?w=1286&h=193&mode=stretch,"1187/30 Off Ghole Road Near Phule Muesum Shivaji Nagar 
 Pune - 411005 
 Maharashtra ,    India","020-49014901  ,    41460100"
"Dr DY Patil College of Physiotherapy, Pune",Private,Estd 2000,8.9,https://images.collegedunia.com/public/college_data/images/appImage/10816_1470643174Physio.jpg?w=1286&h=193&mode=stretch,"Near Pavna Industries 
 Pune - 411018 
 Maharashtra ,    India","020-27120077  ,    64108555"
"Z.V.M. Unani Medical College and Hospital, Pune",Private,Estd 1984,nothing,https://images.collegedunia.com/public/college_data/images/appImage/11191_ZVMUMCH_APP.jpg?w=1286&h=193&mode=stretch,"Azam Campus, Off Shankarshet Road, Camp 
 Pune - 411001 
 Maharashtra ,    India","020-26455153  ,    26446749"
"Bharati Vidyapeeth College of Nursing - [BVCN], Pune",Private,Estd 1992,nothing,https://images.collegedunia.com/public/college_data/images/appImage/11378_n.jpg?w=1286&h=193&mode=stretch,"Bharati Vidyapeeth Campus, Dhankawadi 
 Pune - 411043 
 Maharashtra ,    India",020 - 24372496
"DES College of Nursing - [DESCN], Pune",Private Institute,Estd 2007,8.3,https://images.collegedunia.com/public/college_data/images/appImage/11476_DESCON_APP.jpg?w=1286&h=193&mode=stretch,"Gate No.3, Fergusson College Campus, Shivajinagar 
 Pune - 411004 
 Maharashtra ,    India","020-66866480  ,    66866481"
"Giriraj Nursing School, Pune",Private,Estd 2004,nothing,https://images.collegedunia.com/public/college_data/images/appImage/11587_giriraj_new.jpg?w=1286&h=193&mode=stretch,"Giriraj Hospital Campus,Baramati 
 Pune -  
 Maharashtra ,    India",02112-220349
"Maharashtra Academy of Naval Education and Training - [MANET], Pune",nothing,Private,7.9,https://images.collegedunia.com/public/college_data/images/appImage/14181_MANET_New.png?w=1286&h=193&mode=stretch,"Gat No. 140,Rajbaug, Pune-Solapur Highway,  Loni-kalbhor 
 Pune - 412201 
 Maharashtra ,    India","Admission Cell -  020-26912901  ,    26912902  ,    26912903"
"Tolani Maritime Institute - [TMI], Pune",Private,Estd 1998,8.9,https://images.collegedunia.com/public/college_data/images/appImage/15482_Tolanicover.jpg?w=1286&h=193&mode=stretch,"Talegaon - Chakan Road, Induri 
 Pune - 410507 
 Maharashtra ,    India","2114-669600  ,    669601  ,    669602  ,    669604  ,    669605"
"Indira College of Commerce & Science - [ICCS] Tathawade, Pune",NAAC Grade A,"SPPU, Pune",8.4,https://images.collegedunia.com/public/college_data/images/appImage/1600249580Cover.jpeg?w=1286&h=193&mode=stretch,"Dhruv,  No. 89/2-A, New Pune-Mumbai Express Highway, Tathawade 
 Pune - 411033 
 Maharashtra ,    India","Computer Science and Application -  020-66759502  ,    66759634  ,    Commerce & Management, Arts -  020-66759646  ,    66759523"
"MU College of Commerce, Pune",nothing,Private,7.2,https://images.collegedunia.com/public/college_data/images/appImage/16013_MUCC_APP.jpg?w=1286&h=193&mode=stretch,"Pimpri 
 Pune - 411017 
 Maharashtra ,    India",020-27413943
"Shree Siddhivinayak Mahila Mahavidyalaya - [SSACMM] Karvenagar, Pune",NAAC,"SPPU, Pune",8.3,https://images.collegedunia.com/public/college_data/images/appImage/16219_SSCMM_APP.jpg?w=1286&h=193&mode=stretch,"Karvenagar  
 Pune - 411052 
 Maharashtra ,    India","020-25471967  ,    25478975"
"Smt Kashibai Navale College of Commerce - [SKNCC] Erandwane, Pune",Private,Estd 2007,6.0,https://images.collegedunia.com/public/college_data/images/appImage/16268_SKNCC_APP.jpg?w=1286&h=193&mode=stretch,"9/15, Smt Khilare Marg, Off Karve Road, Erandwane 
 Pune - 411004 
 Maharashtra ,    India",020- 25434303
"Vidya Bhavan College of Commerce, Pune",nothing,"SPPU, Pune",8.2,https://images.collegedunia.com/public/college_data/images/appImage/16338_VBCC_APP.jpg?w=1286&h=193&mode=stretch,"20, Solapur road 
 Pune - 411013 
 Maharashtra ,    India",020-26877180
"Agharkar Research Institute -[ARI], Pune",nothing,"SPPU, Pune",7.9,https://images.collegedunia.com/public/college_data/images/appImage/16380_BORI_APP.jpg?w=1286&h=193&mode=stretch,"Gopal Ganesh Agarkar Road, Shivajinagar 
 Pune - 411004 
 Maharashtra ,    India","020-25325000  ,    25653680"
